,Architecture,Accuracy,Loss,Validation-Accuracy
0,ResNet18,0.9544885177453027,0.12204509973526001,0.9604257876212551
1,ResNet18_pretrained,0.988830897703549,0.034433339849735296,0.8306292385612499
2,AlexNet,0.9563674321503132,0.12335832728073001,0.9610266975706069
3,AlexNet_pretrained,0.9511482254697285,0.12967077903449536,0.9344149712421667
